num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.50439453125, 0.53369140625, 0.541748046875, 0.5439453125, 0.538330078125, 0.54443359375, 0.58544921875, 0.611328125, 0.62109375, 0.5888671875]","[0.517765998840332, 0.5129833221435547, 0.5185369849205017, 0.5204719305038452, 0.5149267911911011, 0.5132870674133301, 0.5180811882019043, 0.5246317386627197, 0.5406310558319092, 0.5333490371704102]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5257408618927002, 0.5282655954360962, 0.5255687832832336, 0.5251297354698181, 0.52995765209198, 0.5315803289413452, 0.5285890102386475, 0.5239787101745605, 0.511664628982544, 0.5162108540534973]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.5146484375, 0.5205078125, 0.529296875, 0.53076171875, 0.534912109375, 0.526611328125, 0.54931640625, 0.588623046875, 0.59326171875, 0.580810546875]","[0.5186352729797363, 0.5094060897827148, 0.5133317112922668, 0.5146539211273193, 0.5093406438827515, 0.508957028388977, 0.5116705894470215, 0.5177021026611328, 0.5279059410095215, 0.5296448469161987]","[0.9367848634719849, 0.9775017499923706, 0.935888409614563, 0.9145196676254272, 0.9180101752281189, 0.9062386751174927, 0.8969423770904541, 0.8787949085235596, 0.8697675466537476, 0.8842231035232544]","[0.5733606815338135, 0.6182127594947815, 0.5700516700744629, 0.5416202545166016, 0.5347582101821899, 0.5213432908058167, 0.5126929879188538, 0.5053539872169495, 0.5140202045440674, 0.5277554988861084]","[0.38933417201042175, 0.3952123522758484, 0.3915567398071289, 0.39159077405929565, 0.39628636837005615, 0.3967653214931488, 0.39480382204055786, 0.3910577893257141, 0.3821631073951721, 0.3815702795982361]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.517333984375, 0.5078125, 0.5126953125, 0.519287109375, 0.515380859375, 0.51806640625, 0.52392578125, 0.556640625, 0.56591796875, 0.5576171875]","[0.5123727321624756, 0.5045241117477417, 0.5062195062637329, 0.504883885383606, 0.5037572383880615, 0.5058958530426025, 0.5056338310241699, 0.5100665092468262, 0.5153517723083496, 0.5213356018066406]","[0.5186361074447632, 0.5408985614776611, 0.5113680958747864, 0.49233710765838623, 0.48363322019577026, 0.47371768951416016, 0.4694717526435852, 0.4551597535610199, 0.4636843204498291, 0.4727568030357361]","[0.4141826927661896, 0.44822782278060913, 0.40557730197906494, 0.3799586594104767, 0.3650854229927063, 0.3537522554397583, 0.3479923903942108, 0.33951810002326965, 0.3537439703941345, 0.3649449348449707]","[0.303312748670578, 0.3114978075027466, 0.3074960708618164, 0.30641287565231323, 0.3088712990283966, 0.30896681547164917, 0.3078864812850952, 0.3039661943912506, 0.2998524010181427, 0.2962590456008911]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.99,"[[1.0, -1.0853549242019653, 0.02552518993616104, -0.6570744514465332], [1.0, -1.0783087015151978, -0.022312860935926437, 0.6553940773010254], [1.0, 1.0869240760803223, -1.1225067377090454, 0.758744478225708], [1.0, 1.0767385959625244, 1.119294285774231, -0.7570629715919495]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.9900000095367432, 0.0, 0.0], [0.0, 0.0, -0.2402813732624054, 0.0], [0.0, 0.0, 0.0, -0.23927265405654907]]","[[0.25, 0.25, 0.25, 0.25], [-0.23126822710037231, -0.23091354966163635, 0.23042480647563934, 0.23175695538520813], [-0.5284128189086914, 0.5279801487922668, -0.45712539553642273, 0.4575582444667816], [-0.7799413204193115, 0.7824069857597351, -0.017898809164762497, 0.01543328445404768]]","[[0.3791165568020519, 0.6178886756978057, 0.002397828217968678, 0.0005969392821737289], [0.6163604898589697, 0.37664142514095705, 0.0043716519445063445, 0.0026264330555668546], [0.00021641183664898733, 0.0018863389489214243, 0.3779045089589668, 0.6199927402554628], [0.004306964201837253, 0.003583567060088879, 0.6153258215623558, 0.37678364717571805]]",1.001771554350853,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.516357421875, 0.49951171875, 0.493408203125, 0.503662109375, 0.499267578125, 0.51220703125, 0.499267578125, 0.519287109375, 0.52490234375, 0.502197265625]","[0.5050115585327148, 0.5011488199234009, 0.4989657700061798, 0.5005187392234802, 0.4998292922973633, 0.5031695365905762, 0.5016818046569824, 0.5050182342529297, 0.5044962167739868, 0.5013327598571777]","[0.2592847943305969, 0.27471867203712463, 0.2516607940196991, 0.23000061511993408, 0.2197236269712448, 0.20943547785282135, 0.20527353882789612, 0.19823318719863892, 0.2086784839630127, 0.22934401035308838]","[0.24762722849845886, 0.277640700340271, 0.23911839723587036, 0.21014778316020966, 0.19625242054462433, 0.18444199860095978, 0.17866602540016174, 0.17441585659980774, 0.18813538551330566, 0.2097066342830658]","[0.21294379234313965, 0.22601506114006042, 0.2187248021364212, 0.21231502294540405, 0.21328772604465485, 0.2117173820734024, 0.21019233763217926, 0.20869004726409912, 0.20752178132534027, 0.20959345996379852]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.61328125, 0.5380859375, 0.5966796875, 0.635986328125, 0.654296875, 0.680419921875, 0.66796875, 0.6806640625, 0.69921875, 0.67138671875]","[0.5303812026977539, 0.5348718762397766, 0.5542688965797424, 0.5800668597221375, 0.5926708579063416, 0.6023769378662109, 0.6001496911048889, 0.6006525754928589, 0.6052634716033936, 0.5937404632568359]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5179658532142639, 0.512000322341919, 0.4982096254825592, 0.47683775424957275, 0.4655514359474182, 0.45998847484588623, 0.46275821328163147, 0.46392130851745605, 0.46040666103363037, 0.46812117099761963]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.5849609375, 0.52880859375, 0.561279296875, 0.604736328125, 0.619873046875, 0.633056640625, 0.6298828125, 0.647705078125, 0.655517578125, 0.642822265625]","[0.5245521068572998, 0.5271461009979248, 0.538362979888916, 0.5603228211402893, 0.5684041976928711, 0.5687781572341919, 0.5673510432243347, 0.5650670528411865, 0.5685879588127136, 0.562993049621582]","[0.9118022918701172, 0.9214345216751099, 0.8601866960525513, 0.8002208471298218, 0.7704910039901733, 0.7576742768287659, 0.7577937245368958, 0.7546049356460571, 0.7454978227615356, 0.7743515372276306]","[0.5597225427627563, 0.5784586668014526, 0.5205810070037842, 0.4783973693847656, 0.4546933174133301, 0.44282108545303345, 0.44084304571151733, 0.43919476866722107, 0.43529635667800903, 0.4583301842212677]","[0.38491886854171753, 0.3793679475784302, 0.3697144687175751, 0.3534476161003113, 0.34564584493637085, 0.34652188420295715, 0.3483072519302368, 0.3512289524078369, 0.34791049361228943, 0.3519279360771179]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947], [0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0, 0.0, 0.0]","[0.555419921875, 0.514404296875, 0.53515625, 0.570068359375, 0.588623046875, 0.574462890625, 0.575927734375, 0.590576171875, 0.599365234375, 0.58740234375]","[0.516507625579834, 0.5161436796188354, 0.5240150690078735, 0.5353484153747559, 0.5425390005111694, 0.535075306892395, 0.5346121788024902, 0.5297520160675049, 0.5355247259140015, 0.5318863391876221]","[0.5117346048355103, 0.5094923973083496, 0.4691857099533081, 0.4384349584579468, 0.41484472155570984, 0.4130608141422272, 0.41526079177856445, 0.4130736291408539, 0.41006240248680115, 0.4335228502750397]","[0.40995365381240845, 0.41788411140441895, 0.3672776222229004, 0.33888763189315796, 0.31571459770202637, 0.31058380007743835, 0.31000757217407227, 0.3097718358039856, 0.30912360548973083, 0.33235567808151245]","[0.3022800385951996, 0.29820847511291504, 0.29167473316192627, 0.2815403938293457, 0.27537375688552856, 0.27808472514152527, 0.2810664176940918, 0.2843916714191437, 0.2806934416294098, 0.2845826745033264]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.95,"[[1.0, 0.3694634437561035, 1.3479807376861572, 0.4186705946922302], [1.0, 0.3701061010360718, 0.5400291085243225, -0.7019046545028687], [1.0, -1.0922716856002808, 0.12644726037979126, -0.006691589951515198], [1.0, 0.3527020812034607, -2.0144569873809814, 0.28992563486099243]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.949999988079071, 0.0, 0.0], [0.0, 0.0, 0.45643192529678345, 0.0], [0.0, 0.0, 0.0, -0.4155605137348175]]","[[0.25, 0.25, 0.25, 0.25], [0.25578880310058594, 0.23842266201972961, -0.6862152814865112, 0.19200384616851807], [0.26939043402671814, 0.03391170874238014, 0.0035333249252289534, -0.30683547258377075], [0.6983109712600708, -0.9167130589485168, -0.0029411311261355877, 0.22134310007095337]]","[[0.3840306904308517, 0.5140410537225498, 0.011830741253123365, 0.09009751459347515], [0.6100227038390834, 0.0747979928142014, 0.008739198196440817, 0.3064401051502743], [0.0020682654697976263, 0.0020068347304651683, 0.9622526170968657, 0.03367228270287148], [0.0038783249060692342, 0.40915408357460115, 0.01717751332407708, 0.5697900781952525]]",1.0215057656168938,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111], [0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0, 0.0, 0.0]","[0.520751953125, 0.498779296875, 0.50341796875, 0.52490234375, 0.544189453125, 0.5322265625, 0.526611328125, 0.528076171875, 0.53515625, 0.5244140625]","[0.5048174858093262, 0.5013945698738098, 0.5081192255020142, 0.5123691558837891, 0.5177379250526428, 0.5133212804794312, 0.5119616985321045, 0.5081701278686523, 0.511216402053833, 0.5080151557922363]","[0.2612046003341675, 0.27053311467170715, 0.23543202877044678, 0.21189630031585693, 0.1954333335161209, 0.19207580387592316, 0.19201800227165222, 0.18879008293151855, 0.1960829198360443, 0.21592670679092407]","[0.24998041987419128, 0.2710767984390259, 0.22065696120262146, 0.19335982203483582, 0.17531058192253113, 0.16969725489616394, 0.1677333414554596, 0.16645243763923645, 0.17520037293434143, 0.19692397117614746]","[0.21479015052318573, 0.22454015910625458, 0.21051618456840515, 0.20114749670028687, 0.19645965099334717, 0.1980777382850647, 0.1993095576763153, 0.2016332447528839, 0.20185524225234985, 0.20573392510414124]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.75,"[[1.0, -0.37738028168678284, -1.0025649070739746, 0.6926920413970947], [1.0, 0.36681893467903137, 0.2759348452091217, 0.0742737352848053], [1.0, -0.13568760454654694, 0.08834633231163025, -0.8822617530822754], [1.0, 0.14624883234500885, 0.6382837295532227, 0.11529599875211716]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.75, 0.0, 0.0], [0.0, 0.0, 0.749872088432312, 0.0], [0.0, 0.0, 0.0, 0.7345929145812988]]","[[0.25, 0.25, 0.25, 0.25], [-0.4936698377132416, 2.846864938735962, -0.4028114974498749, -1.9503835439682007], [-0.3373587429523468, -0.9980179667472839, -0.1542253941297531, 1.4896020889282227], [0.32550477981567383, -0.2544090747833252, -0.8035809397697449, 0.7324850559234619]]","[[0.8089828263500722, 0.06508708776081655, 0.07105631483272491, 0.054873771056386356], [0.06213939657184199, 0.8128264779079045, 0.06342500909753103, 0.0616091164227225], [0.06692846537409719, 0.05905297570199536, 0.8015785125349609, 0.0724400463889465], [0.06194944772048962, 0.06303319428910605, 0.06394010877520008, 0.8110772492152043]]",1.0069639831781387,2,"[[1.0, 0.0], [0.0, 1.0], [1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0, 0.0, 0.0]","[0.7978515625, 0.806640625, 0.798583984375, 0.84423828125, 0.87451171875, 0.8642578125, 0.869873046875, 0.8671875, 0.8701171875, 0.87646484375]","[0.674879789352417, 0.6641846895217896, 0.7023908495903015, 0.7383474111557007, 0.7616473436355591, 0.7512938380241394, 0.7484714984893799, 0.748328685760498, 0.7386047840118408, 0.7395652532577515]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.41207677125930786, 0.4196314215660095, 0.38454532623291016, 0.35091298818588257, 0.334763765335083, 0.3455897569656372, 0.350450336933136, 0.35003775358200073, 0.3596552014350891, 0.36010003089904785]"
4,"[0.2500000000000001, 0.24999999999999992, 0.24999999999999997, 0.24999999999999997]",0.75,"[[1.0, -0.37738028168678284, -1.0025649070739746, 0.6926920413970947], [1.0, 0.36681893467903137, 0.2759348452091217, 0.0742737352848053], [1.0, -0.13568760454654694, 0.08834633231163025, -0.8822617530822754], [1.0, 0.14624883234500885, 0.6382837295532227, 0.11529599875211716]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.75, 0.0, 0.0], [0.0, 0.0, 0.749872088432312, 0.0], [0.0, 0.0, 0.0, 0.7345929145812988]]","[[0.25, 0.25, 0.25, 0.25], [-0.4936698377132416, 2.846864938735962, -0.4028114974498749, -1.9503835439682007], [-0.3373587429523468, -0.9980179667472839, -0.1542253941297531, 1.4896020889282227], [0.32550477981567383, -0.2544090747833252, -0.8035809397697449, 0.7324850559234619]]","[[0.8089828263500722, 0.06508708776081655, 0.07105631483272491, 0.054873771056386356], [0.06213939657184199, 0.8128264779079045, 0.06342500909753103, 0.0616091164227225], [0.06692846537409719, 0.05905297570199536, 0.8015785125349609, 0.0724400463889465], [0.06194944772048962, 0.06303319428910605, 0.06394010877520008, 0.8110772492152043]]",1.0069639831781387,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419], [0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0, 0.0, 0.0]","[0.74462890625, 0.732421875, 0.749267578125, 0.771484375, 0.801513671875, 0.793701171875, 0.8017578125, 0.802734375, 0.815673828125, 0.81884765625]","[0.6384055614471436, 0.6300528049468994, 0.6550977826118469, 0.66865074634552, 0.6782464981079102, 0.6709548234939575, 0.6681489944458008, 0.669052243232727, 0.6673516631126404, 0.6719458103179932]","[0.5972210764884949, 0.6189043521881104, 0.5730294585227966, 0.5481723546981812, 0.4935797154903412, 0.5110445022583008, 0.5086441040039062, 0.5059525966644287, 0.5145418047904968, 0.4975215792655945]","[0.3693489730358124, 0.3854239284992218, 0.3757311701774597, 0.3717939555644989, 0.3240797221660614, 0.33250612020492554, 0.329441636800766, 0.32607579231262207, 0.33042261004447937, 0.3197493851184845]","[0.2890622913837433, 0.29407447576522827, 0.27183449268341064, 0.25830143690109253, 0.25091537833213806, 0.2596140205860138, 0.2649240493774414, 0.2657202482223511, 0.27080515027046204, 0.26618024706840515]"
