num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.6298828125, 0.621826171875, 0.672607421875, 0.676025390625, 0.680908203125, 0.69287109375, 0.68017578125, 0.67431640625, 0.675048828125, 0.686767578125]","[0.506298303604126, 0.5499444007873535, 0.5821821689605713, 0.5895181894302368, 0.5844823122024536, 0.5865285992622375, 0.5883204340934753, 0.5890443325042725, 0.5881650447845459, 0.5836405754089355]","[0.49735528230667114, 0.42465856671333313, 0.3718152642250061, 0.34941279888153076, 0.34055185317993164, 0.33569836616516113, 0.34821009635925293, 0.34604552388191223, 0.34467339515686035, 0.3418901562690735]","[0.3837108612060547, 0.3362502157688141, 0.3041170537471771, 0.2830449640750885, 0.2700456976890564, 0.2674979567527771, 0.2779158353805542, 0.2777681052684784, 0.2790347933769226, 0.26975512504577637]","[0.30917811393737793, 0.2655509114265442, 0.24131378531455994, 0.2302614450454712, 0.23197327554225922, 0.2300335317850113, 0.2289380431175232, 0.22805768251419067, 0.22946614027023315, 0.23559603095054626]"
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.568359375, 0.552978515625, 0.564208984375, 0.572021484375, 0.57666015625, 0.581787109375, 0.579345703125, 0.56689453125, 0.56396484375, 0.569580078125]","[0.5077533721923828, 0.5235251188278198, 0.5326831340789795, 0.530551016330719, 0.5245424509048462, 0.5293890237808228, 0.5294747352600098, 0.5247564911842346, 0.5232815742492676, 0.5212583541870117]","[0.23745505511760712, 0.22136563062667847, 0.20467598736286163, 0.19520242512226105, 0.18764148652553558, 0.18198060989379883, 0.19053515791893005, 0.19172242283821106, 0.19504356384277344, 0.19222980737686157]","[0.2210388481616974, 0.2117808759212494, 0.19468063116073608, 0.18322360515594482, 0.1713666170835495, 0.16560043394565582, 0.17334485054016113, 0.17605069279670715, 0.17812135815620422, 0.17384479939937592]","[0.20694874227046967, 0.19678905606269836, 0.18669289350509644, 0.18319301307201385, 0.18485617637634277, 0.1824716031551361, 0.18073982000350952, 0.18304547667503357, 0.18851113319396973, 0.19201652705669403]"
2,"[0.5000000000000001, 0.4999999999999999]",0.5,"[[1.0, -1.2609658241271973], [1.0, 1.2609658241271973]]","[[1.0, 0.0], [0.0, 0.5]]","[[0.5, 0.5], [-0.3965214490890503, 0.3965214490890503]]","[[0.75, 0.25], [0.25, 0.75]]",0.8112781047821045,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.5556640625, 0.609130859375, 0.65869140625, 0.671875, 0.69580078125, 0.69677734375, 0.707275390625, 0.709228515625, 0.697998046875, 0.71533203125]","[0.48131775856018066, 0.538855791091919, 0.5702832341194153, 0.5757778882980347, 0.5798889398574829, 0.5819026231765747, 0.5976349711418152, 0.6004245281219482, 0.5899930000305176, 0.5898411273956299]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5530226230621338, 0.5110251307487488, 0.4878661036491394, 0.48437461256980896, 0.4826933443546295, 0.4810595214366913, 0.4686082601547241, 0.4665524363517761, 0.47447654604911804, 0.47615399956703186]"
2,"[0.5000000000000001, 0.4999999999999999]",0.5,"[[1.0, -1.2609658241271973], [1.0, 1.2609658241271973]]","[[1.0, 0.0], [0.0, 0.5]]","[[0.5, 0.5], [-0.3965214490890503, 0.3965214490890503]]","[[0.75, 0.25], [0.25, 0.75]]",0.8112781047821045,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.54150390625, 0.575927734375, 0.60986328125, 0.6279296875, 0.64208984375, 0.654296875, 0.654052734375, 0.66015625, 0.66259765625, 0.66650390625]","[0.4850940704345703, 0.529434084892273, 0.5487756729125977, 0.5531917214393616, 0.5513893961906433, 0.5561347007751465, 0.5648373365402222, 0.5682346224784851, 0.5677869319915771, 0.5619538426399231]","[1.0049552917480469, 0.8927655220031738, 0.8355417847633362, 0.8122259378433228, 0.8038017749786377, 0.7987041473388672, 0.7785149216651917, 0.7782014608383179, 0.7731494903564453, 0.7738233804702759]","[0.5924351215362549, 0.542364239692688, 0.510865330696106, 0.4921850264072418, 0.48232972621917725, 0.481669545173645, 0.47460314631462097, 0.4750005304813385, 0.4673902690410614, 0.46045443415641785]","[0.4157935380935669, 0.37749865651130676, 0.3630855679512024, 0.3591200113296509, 0.36059242486953735, 0.3589774966239929, 0.348724901676178, 0.34902894496917725, 0.3498234152793884, 0.3554838299751282]"
2,"[0.5000000000000001, 0.4999999999999999]",0.5,"[[1.0, -1.2609658241271973], [1.0, 1.2609658241271973]]","[[1.0, 0.0], [0.0, 0.5]]","[[0.5, 0.5], [-0.3965214490890503, 0.3965214490890503]]","[[0.75, 0.25], [0.25, 0.75]]",0.8112781047821045,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.537841796875, 0.538330078125, 0.56298828125, 0.565185546875, 0.580078125, 0.58203125, 0.59619140625, 0.58642578125, 0.581787109375, 0.57080078125]","[0.49471330642700195, 0.5185583829879761, 0.5251284837722778, 0.5252532362937927, 0.526587188243866, 0.5264076590538025, 0.5311623811721802, 0.5324727892875671, 0.5275750160217285, 0.522924542427063]","[0.5326480865478516, 0.491983026266098, 0.46763598918914795, 0.45553892850875854, 0.4447304904460907, 0.44185829162597656, 0.4449158310890198, 0.4336931109428406, 0.4387698173522949, 0.44643425941467285]","[0.41156136989593506, 0.38909316062927246, 0.3676835298538208, 0.35439836978912354, 0.34204941987991333, 0.33962228894233704, 0.34366530179977417, 0.33522096276283264, 0.337432861328125, 0.3405453562736511]","[0.31999173760414124, 0.293712317943573, 0.28930285573005676, 0.28769826889038086, 0.28799304366111755, 0.2876793146133423, 0.28341174125671387, 0.28006017208099365, 0.28492867946624756, 0.2913610637187958]"
2,"[0.5000000000000001, 0.4999999999999999]",0.5,"[[1.0, -1.2609658241271973], [1.0, 1.2609658241271973]]","[[1.0, 0.0], [0.0, 0.5]]","[[0.5, 0.5], [-0.3965214490890503, 0.3965214490890503]]","[[0.75, 0.25], [0.25, 0.75]]",0.8112781047821045,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.517822265625, 0.502685546875, 0.52734375, 0.51318359375, 0.52099609375, 0.528076171875, 0.52197265625, 0.521728515625, 0.51611328125, 0.493896484375]","[0.4984266757965088, 0.5033079385757446, 0.5094117522239685, 0.5047183632850647, 0.5029828548431396, 0.5082688331604004, 0.5069006681442261, 0.5044649839401245, 0.5047247409820557, 0.4983817934989929]","[0.2598907947540283, 0.25414466857910156, 0.2343870848417282, 0.22721941769123077, 0.21978574991226196, 0.20856373012065887, 0.22050157189369202, 0.20836667716503143, 0.21393746137619019, 0.23389127850532532]","[0.2414918839931488, 0.2425859421491623, 0.2190355360507965, 0.20912176370620728, 0.19862890243530273, 0.1872456967830658, 0.1980016827583313, 0.18773461878299713, 0.1919001042842865, 0.21089550852775574]","[0.21935659646987915, 0.21532374620437622, 0.20868517458438873, 0.2078724205493927, 0.20852088928222656, 0.2045542448759079, 0.2054513394832611, 0.20271527767181396, 0.2079833298921585, 0.21671803295612335]"
2,"[0.8888888888888888, 0.1111111111111111]",0.99,"[[1.0, -0.22664670646190643], [1.0, 1.8131740093231201]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.8888888955116272, 0.1111111119389534], [-0.49023914337158203, 0.4902391731739044]]","[[0.9988888725390033, 0.0011111274609966755], [0.008888899750179067, 0.991111100249821]]",0.019265078836017184,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.99658203125, 0.994384765625, 0.99658203125, 0.99658203125, 0.998779296875, 0.997802734375, 0.9970703125, 0.988525390625, 0.979736328125, 0.9765625]","[0.5229277610778809, 0.5241668224334717, 0.5283479690551758, 0.5369811058044434, 0.552025556564331, 0.5795474052429199, 0.6320233345031738, 0.7118421196937561, 0.817978024482727, 0.9228236675262451]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5261744260787964, 0.5252596735954285, 0.5218764543533325, 0.5141879320144653, 0.49990788102149963, 0.4731380045413971, 0.42201757431030273, 0.3413100838661194, 0.23000240325927734, 0.11598452180624008]"
2,"[0.8888888888888888, 0.1111111111111111]",0.99,"[[1.0, -0.22664670646190643], [1.0, 1.8131740093231201]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.8888888955116272, 0.1111111119389534], [-0.49023914337158203, 0.4902391731739044]]","[[0.9988888725390033, 0.0011111274609966755], [0.008888899750179067, 0.991111100249821]]",0.019265078836017184,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.91796875, 0.916015625, 0.88720703125, 0.927734375, 0.93994140625, 0.945068359375, 0.940673828125, 0.9501953125, 0.943603515625, 0.952392578125]","[0.5278668403625488, 0.5722754001617432, 0.645473062992096, 0.7826844453811646, 0.8651739954948425, 0.8863235712051392, 0.8782341480255127, 0.868766188621521, 0.8402913212776184, 0.8536078929901123]","[0.8323712348937988, 0.7223742008209229, 0.5744251012802124, 0.28951776027679443, 0.13453005254268646, 0.07781510055065155, 0.06345541775226593, 0.07159586995840073, 0.11037484556436539, 0.09512940794229507]","[0.4818077087402344, 0.4191036820411682, 0.33971095085144043, 0.1741219311952591, 0.09212208539247513, 0.05523063987493515, 0.043849796056747437, 0.04897887632250786, 0.07199171185493469, 0.06406736373901367]","[0.3829789161682129, 0.3441484570503235, 0.273306667804718, 0.16662171483039856, 0.1014375165104866, 0.0712883472442627, 0.06487969309091568, 0.0774533599615097, 0.10449870675802231, 0.0971832200884819]"
2,"[0.8888888888888888, 0.1111111111111111]",0.99,"[[1.0, -0.22664670646190643], [1.0, 1.8131740093231201]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.8888888955116272, 0.1111111119389534], [-0.49023914337158203, 0.4902391731739044]]","[[0.9988888725390033, 0.0011111274609966755], [0.008888899750179067, 0.991111100249821]]",0.019265078836017184,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.81689453125, 0.818359375, 0.82421875, 0.86083984375, 0.88037109375, 0.8759765625, 0.864990234375, 0.854736328125, 0.836669921875, 0.849853515625]","[0.5352752208709717, 0.5962493419647217, 0.6841614246368408, 0.7607725858688354, 0.7747392654418945, 0.7626668214797974, 0.75087970495224, 0.71955406665802, 0.7018802762031555, 0.7163971662521362]","[0.41185954213142395, 0.30182912945747375, 0.18480806052684784, 0.08026553690433502, 0.05612681806087494, 0.05915769189596176, 0.07126610726118088, 0.09610864520072937, 0.13998451828956604, 0.13706457614898682]","[0.3162764310836792, 0.2321518063545227, 0.1487482786178589, 0.07356519997119904, 0.05055345594882965, 0.049845658242702484, 0.05982094258069992, 0.07716833055019379, 0.11713491380214691, 0.11820558458566666]","[0.2817264795303345, 0.22093689441680908, 0.15718916058540344, 0.10110975056886673, 0.0826384574174881, 0.08083641529083252, 0.09082812815904617, 0.1074829250574112, 0.12685291469097137, 0.12802466750144958]"
2,"[0.8888888888888888, 0.1111111111111111]",0.99,"[[1.0, -0.22664670646190643], [1.0, 1.8131740093231201]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.8888888955116272, 0.1111111119389534], [-0.49023914337158203, 0.4902391731739044]]","[[0.9988888725390033, 0.0011111274609966755], [0.008888899750179067, 0.991111100249821]]",0.019265078836017184,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.6875, 0.69189453125, 0.73193359375, 0.73779296875, 0.775390625, 0.751953125, 0.7421875, 0.740234375, 0.72998046875, 0.704833984375]","[0.5346522331237793, 0.5711140632629395, 0.6123074293136597, 0.6268670558929443, 0.6369671821594238, 0.6269305944442749, 0.6281378865242004, 0.6022594571113586, 0.5968503355979919, 0.6016650199890137]","[0.17699062824249268, 0.13207583129405975, 0.08048785477876663, 0.06175289675593376, 0.049580276012420654, 0.056456372141838074, 0.061287764459848404, 0.06846344470977783, 0.08878437429666519, 0.11638717353343964]","[0.1642783284187317, 0.12478487193584442, 0.08006756752729416, 0.0620676651597023, 0.04867573827505112, 0.05416548252105713, 0.05821141600608826, 0.06391717493534088, 0.08412141352891922, 0.11832305788993835]","[0.17390191555023193, 0.14946769177913666, 0.11024045944213867, 0.09611917287111282, 0.0859367698431015, 0.08718835562467575, 0.09002052992582321, 0.10182464122772217, 0.11489909887313843, 0.13803164660930634]"
