num_state,steady_state,lambda2,U,Sigma,U_inv,A,A_entropy,num_observation,B,B_entropy,pi_0,llm_emission_acc,llm_emission_prob,llm_emission_reverse_kl,llm_emission_forward_kl,llm_emission_hellinger_distance
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.412353515625, 0.545166015625, 0.6650390625, 0.694091796875, 0.713623046875, 0.714599609375, 0.71142578125, 0.707275390625, 0.70703125, 0.70068359375]","[0.4679532051086426, 0.5320745706558228, 0.5878064036369324, 0.6080403923988342, 0.6127855777740479, 0.6142971515655518, 0.6155340671539307, 0.6086519956588745, 0.61264967918396, 0.6156750917434692]","[0.6277147531509399, 0.47894659638404846, 0.3685271143913269, 0.33067622780799866, 0.30797433853149414, 0.30360591411590576, 0.3105297386646271, 0.31989139318466187, 0.3163740336894989, 0.3241503834724426]","[0.4872594177722931, 0.3784061074256897, 0.3022831976413727, 0.27452996373176575, 0.25494638085365295, 0.24976709485054016, 0.25733476877212524, 0.2620074450969696, 0.2598657011985779, 0.2704241871833801]","[0.34339359402656555, 0.2867584228515625, 0.23933061957359314, 0.21453595161437988, 0.2055613398551941, 0.20493370294570923, 0.2035733312368393, 0.21031048893928528, 0.20858198404312134, 0.20643822848796844]"
2,"[0.5000000000000001, 0.4999999999999999]",0.75,"[[1.0, 1.030020833015442], [1.0, -1.030020833015442]]","[[1.0, 0.0], [0.0, 0.75]]","[[0.5, 0.5], [0.4854271113872528, -0.4854270815849304]]","[[0.8750000260770329, 0.12499997392296713], [0.12499997392296713, 0.8750000260770329]]",0.5435643792152405,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.437744140625, 0.527587890625, 0.588134765625, 0.595947265625, 0.608642578125, 0.6279296875, 0.618896484375, 0.59033203125, 0.5927734375, 0.583984375]","[0.47681498527526855, 0.5179070234298706, 0.5409449338912964, 0.5412024259567261, 0.542344868183136, 0.5461441874504089, 0.5486072897911072, 0.5414520502090454, 0.5380263328552246, 0.5428372621536255]","[0.32291242480278015, 0.23072589933872223, 0.19426655769348145, 0.18032532930374146, 0.17440636456012726, 0.16776874661445618, 0.17323747277259827, 0.18287110328674316, 0.19351057708263397, 0.20501703023910522]","[0.3020567297935486, 0.2175351083278656, 0.1841413974761963, 0.17058692872524261, 0.16293053328990936, 0.15511271357536316, 0.1620093584060669, 0.17018043994903564, 0.18279580771923065, 0.1979043036699295]","[0.24523726105690002, 0.20139077305793762, 0.18300816416740417, 0.17123492062091827, 0.1688738763332367, 0.16524744033813477, 0.16444571316242218, 0.17321816086769104, 0.177168607711792, 0.17896640300750732]"
2,"[0.5000000000000001, 0.4999999999999999]",0.5,"[[1.0, -1.2609658241271973], [1.0, 1.2609658241271973]]","[[1.0, 0.0], [0.0, 0.5]]","[[0.5, 0.5], [-0.3965214490890503, 0.3965214490890503]]","[[0.75, 0.25], [0.25, 0.75]]",0.8112781047821045,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.47998046875, 0.54248046875, 0.65673828125, 0.708740234375, 0.73388671875, 0.7255859375, 0.74853515625, 0.73779296875, 0.7119140625, 0.72314453125]","[0.4842550754547119, 0.5304121971130371, 0.5748611092567444, 0.6031347513198853, 0.6157723665237427, 0.6132867336273193, 0.626980185508728, 0.6201077699661255, 0.6052781343460083, 0.6162488460540771]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.5495012998580933, 0.5151193141937256, 0.48328864574432373, 0.4627363979816437, 0.45382553339004517, 0.455904483795166, 0.4457464814186096, 0.451529324054718, 0.46179041266441345, 0.4524388611316681]"
2,"[0.5000000000000001, 0.4999999999999999]",0.5,"[[1.0, -1.2609658241271973], [1.0, 1.2609658241271973]]","[[1.0, 0.0], [0.0, 0.5]]","[[0.5, 0.5], [-0.3965214490890503, 0.3965214490890503]]","[[0.75, 0.25], [0.25, 0.75]]",0.8112781047821045,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.47802734375, 0.53076171875, 0.62109375, 0.6611328125, 0.677978515625, 0.6796875, 0.703125, 0.69091796875, 0.664794921875, 0.6689453125]","[0.48459362983703613, 0.5238277316093445, 0.5554096698760986, 0.5771324634552002, 0.5805813670158386, 0.5807989835739136, 0.5913476943969727, 0.5851380825042725, 0.5778337121009827, 0.5863212943077087]","[1.042119026184082, 0.9189273118972778, 0.8292577862739563, 0.7665975093841553, 0.753218948841095, 0.7546228766441345, 0.7221461534500122, 0.7393099665641785, 0.771048903465271, 0.7514013648033142]","[0.6243084669113159, 0.5615423917770386, 0.5156641602516174, 0.4802071154117584, 0.47373393177986145, 0.47153231501579285, 0.45251765847206116, 0.45862796902656555, 0.4803463816642761, 0.4728562533855438]","[0.41458362340927124, 0.3819684386253357, 0.3580099642276764, 0.33797457814216614, 0.3354729413986206, 0.33712393045425415, 0.3277445137500763, 0.334236204624176, 0.34106552600860596, 0.331104576587677]"
2,"[0.5000000000000001, 0.4999999999999999]",0.5,"[[1.0, -1.2609658241271973], [1.0, 1.2609658241271973]]","[[1.0, 0.0], [0.0, 0.5]]","[[0.5, 0.5], [-0.3965214490890503, 0.3965214490890503]]","[[0.75, 0.25], [0.25, 0.75]]",0.8112781047821045,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.486083984375, 0.53759765625, 0.57763671875, 0.59716796875, 0.6181640625, 0.613525390625, 0.628662109375, 0.60791015625, 0.608154296875, 0.596435546875]","[0.49011707305908203, 0.518861711025238, 0.5344675183296204, 0.5422062873840332, 0.5476227402687073, 0.5464774370193481, 0.5521323084831238, 0.5416520237922668, 0.5412155389785767, 0.5476948022842407]","[0.569982647895813, 0.4916611313819885, 0.4600863754749298, 0.43727853894233704, 0.4223657548427582, 0.4187415540218353, 0.4121891260147095, 0.42776989936828613, 0.4426422119140625, 0.4488266706466675]","[0.4461930990219116, 0.3892878592014313, 0.3674895465373993, 0.3498680889606476, 0.335010826587677, 0.33005720376968384, 0.32544708251953125, 0.3366021513938904, 0.3513546586036682, 0.36217403411865234]","[0.3221522569656372, 0.2966081500053406, 0.2831314206123352, 0.27083152532577515, 0.2675999402999878, 0.2674161493778229, 0.2633737623691559, 0.27149397134780884, 0.2749418020248413, 0.27117496728897095]"
2,"[0.5000000000000001, 0.4999999999999999]",0.5,"[[1.0, -1.2609658241271973], [1.0, 1.2609658241271973]]","[[1.0, 0.0], [0.0, 0.5]]","[[0.5, 0.5], [-0.3965214490890503, 0.3965214490890503]]","[[0.75, 0.25], [0.25, 0.75]]",0.8112781047821045,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.49169921875, 0.501953125, 0.528564453125, 0.53662109375, 0.547607421875, 0.548583984375, 0.5625, 0.520751953125, 0.527587890625, 0.52392578125]","[0.49425649642944336, 0.5041800141334534, 0.5132832527160645, 0.5127271413803101, 0.5150936245918274, 0.5170664191246033, 0.5237324237823486, 0.5095616579055786, 0.5103574991226196, 0.5122480392456055]","[0.29582250118255615, 0.2464664876461029, 0.23065245151519775, 0.21950164437294006, 0.21295589208602905, 0.2067287564277649, 0.20867303013801575, 0.21889136731624603, 0.23577415943145752, 0.2520706057548523]","[0.28034764528274536, 0.23382943868637085, 0.21736475825309753, 0.20493823289871216, 0.1958971619606018, 0.18934273719787598, 0.1919124275445938, 0.20192810893058777, 0.22134239971637726, 0.2430894672870636]","[0.22674039006233215, 0.21134796738624573, 0.2048988789319992, 0.19735270738601685, 0.19724324345588684, 0.1943143755197525, 0.1919519454240799, 0.1991317868232727, 0.2047843039035797, 0.2068990170955658]"
2,"[0.8888888888888888, 0.1111111111111111]",0.99,"[[1.0, -0.22664670646190643], [1.0, 1.8131740093231201]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.8888888955116272, 0.1111111119389534], [-0.49023914337158203, 0.4902391731739044]]","[[0.9988888725390033, 0.0011111274609966755], [0.008888899750179067, 0.991111100249821]]",0.019265078836017184,2,"[[1.0, 0.0], [0.0, 1.0]]",0,"[1.0, 0.0]","[0.00390625, 0.010009765625, 0.01904296875, 0.03955078125, 0.068115234375, 0.129638671875, 0.248779296875, 0.43505859375, 0.67333984375, 0.88671875]","[0.3370656967163086, 0.3397369384765625, 0.3454141616821289, 0.35846948623657227, 0.3779512047767639, 0.4183487892150879, 0.4982970654964447, 0.622355043888092, 0.7809263467788696, 0.9205034971237183]","[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6476320028305054, 0.6457507014274597, 0.6412861347198486, 0.6302965879440308, 0.6123368144035339, 0.5740480422973633, 0.495736688375473, 0.3737175166606903, 0.21807211637496948, 0.08168085664510727]"
2,"[0.8888888888888888, 0.1111111111111111]",0.99,"[[1.0, -0.22664670646190643], [1.0, 1.8131740093231201]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.8888888955116272, 0.1111111119389534], [-0.49023914337158203, 0.4902391731739044]]","[[0.9988888725390033, 0.0011111274609966755], [0.008888899750179067, 0.991111100249821]]",0.019265078836017184,2,"[[0.9583073097263419, 0.04169269027365807], [0.04169269027365807, 0.9583073097263419]]",0.25,"[1.0, 0.0]","[0.078369140625, 0.21875, 0.435302734375, 0.7001953125, 0.89599609375, 0.953369140625, 0.94677734375, 0.9541015625, 0.94677734375, 0.956787109375]","[0.35958194732666016, 0.4166839122772217, 0.5356448888778687, 0.7264797687530518, 0.8793082237243652, 0.926469087600708, 0.9189762473106384, 0.9223712682723999, 0.9021387696266174, 0.9033035039901733]","[1.4641761779785156, 1.2832880020141602, 0.9427852630615234, 0.46866875886917114, 0.13869476318359375, 0.043515004217624664, 0.040775276720523834, 0.03808335214853287, 0.0472288653254509, 0.05053790658712387]","[0.872617244720459, 0.7642974853515625, 0.5638378858566284, 0.2834419012069702, 0.08949048817157745, 0.03960800915956497, 0.04052755981683731, 0.040961045771837234, 0.03933507576584816, 0.03845464438199997]","[0.508607029914856, 0.4643371105194092, 0.3623138666152954, 0.19155195355415344, 0.08342809230089188, 0.06212775409221649, 0.0660688579082489, 0.0635431706905365, 0.06288988888263702, 0.06455661356449127]"
2,"[0.8888888888888888, 0.1111111111111111]",0.99,"[[1.0, -0.22664670646190643], [1.0, 1.8131740093231201]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.8888888955116272, 0.1111111119389534], [-0.49023914337158203, 0.4902391731739044]]","[[0.9988888725390033, 0.0011111274609966755], [0.008888899750179067, 0.991111100249821]]",0.019265078836017184,2,"[[0.8899721355616947, 0.11002786443830526], [0.11002786443830526, 0.8899721355616947]]",0.5,"[1.0, 0.0]","[0.184814453125, 0.410888671875, 0.678955078125, 0.838623046875, 0.88818359375, 0.881103515625, 0.87353515625, 0.87353515625, 0.8779296875, 0.86669921875]","[0.3927459716796875, 0.4819307327270508, 0.6250641942024231, 0.7585060596466064, 0.8134373426437378, 0.8116419315338135, 0.7974468469619751, 0.7780361771583557, 0.7633771896362305, 0.7367217540740967]","[0.8170447945594788, 0.5958432555198669, 0.3045472502708435, 0.08670024573802948, 0.04230602830648422, 0.046591468155384064, 0.04637197405099869, 0.05152922868728638, 0.055174414068460464, 0.0913180261850357]","[0.6321796774864197, 0.4589051604270935, 0.23596356809139252, 0.07205992937088013, 0.044359251856803894, 0.04964399337768555, 0.047471120953559875, 0.04804510623216629, 0.046958260238170624, 0.07340246438980103]","[0.410062313079834, 0.32566675543785095, 0.19907212257385254, 0.09226079285144806, 0.081104576587677, 0.08256968855857849, 0.07777829468250275, 0.07638636231422424, 0.077516570687294, 0.10257623344659805]"
2,"[0.8888888888888888, 0.1111111111111111]",0.99,"[[1.0, -0.22664670646190643], [1.0, 1.8131740093231201]]","[[1.0, 0.0], [0.0, 0.9900000095367432]]","[[0.8888888955116272, 0.1111111119389534], [-0.49023914337158203, 0.4902391731739044]]","[[0.9988888725390033, 0.0011111274609966755], [0.008888899750179067, 0.991111100249821]]",0.019265078836017184,2,"[[0.7854982551402111, 0.2145017448597889], [0.2145017448597889, 0.7854982551402111]]",0.75,"[1.0, 0.0]","[0.2958984375, 0.485107421875, 0.6767578125, 0.739990234375, 0.781982421875, 0.76806640625, 0.763427734375, 0.75244140625, 0.76220703125, 0.7529296875]","[0.4288783073425293, 0.49846625328063965, 0.5847170352935791, 0.6343724131584167, 0.661868155002594, 0.6493073105812073, 0.6453484296798706, 0.6203634738922119, 0.6168084740638733, 0.6050493717193604]","[0.42218655347824097, 0.2611066699028015, 0.11879149079322815, 0.060511715710163116, 0.046310245990753174, 0.043834906071424484, 0.04365842416882515, 0.04913219437003136, 0.05454878509044647, 0.06747745722532272]","[0.39206230640411377, 0.2390729784965515, 0.11036671698093414, 0.06043945997953415, 0.04935828596353531, 0.04548479616641998, 0.04274051636457443, 0.045921891927719116, 0.050418246537446976, 0.06245049461722374]","[0.30515432357788086, 0.21875208616256714, 0.135312020778656, 0.09809219837188721, 0.08854391425848007, 0.08295649290084839, 0.07782962918281555, 0.08211755752563477, 0.08964931964874268, 0.1023440957069397]"
